subject,predicate,object
Payment receiver,seeks_advice_on,identifying employee related to transaction
Customer,requests,address update for Skills Development Levy payment
Customer,seeks_clarification_on,purpose of Skills Development Levy
Customer,seeks_clarification_on,calculation of Skills Development Levy
Customer,seeks_clarification_on,benefits of Skills Development Levy for employees
Rachel,inquires_about,"Skillsfuture claim status stating ""not applicable"""
Rachel,is_from,SMU's Mindfulness Initiative
Rachel,questions_if,status implies cancellation
Employer,inquires_about,outstanding Skills Development Levy amounts for 2022 and previous years
Employer,intends_to,make payment
Offset,against,Outstanding Skills Development Levy
Outstanding Skills Development Levy,as_per,SkillsFuture Singapore's letter
Customer,inquires_about,offset of a lump sum payment
Lump sum payment,made_by,a colleague
Outstanding Skills Development Levy,contrasts_with,previous years' calculations
Overpayments,from_specific_months,not accounted for
Customer,queries,reason for non-accounting of overpayments in outstanding Skills Development Levy
Customer,seeks_to_book,Career Advisory appointment for her nephew
Customer,unable_to_book,nephew not present with her
Customer,inquires_about,computation of the Skills Development Levy
Customer,receives,outstanding letter from SkillsFuture Singapore
Assistance,charges_fee_for,per headcount
Recruit SG,claims_to_assist_with,Career Conversion Programme and Part Time Re-employment Grant applications
Customer,inquired_about,Recruit SG assistance
Customer,finds,no credits in the portal
Customer,inquires_about,company's eligibility for SkillsFuture Enterprise Credit
Customer,seeks_information_on,the appeal process
Customer,has_citizenship,Singapore Citizen
Customer,inquires_about,amount of SkillsFuture Subsidy available
Customer,asserts,all payments for local and foreign employees were correctly computed according to payroll records
Customer,disputes,outstanding Skills Development Levy payment notice
Customer,inquires_about,available SkillsFuture credits
Customer,inquires_about,expiration date of SkillsFuture credits
Appeal,for_specific_positions_in,Career Conversion Programmes
Career Conversion Programmes,in,Sea Transport sector and Marine & Offshore Energy Sector
Customer,inquired_about,appealing for Career Conversion Programmes
Customer,did_not_receive,callback from officer AJ
Customer,seeks_to_confirm,appointment with a career coach
Appointment confirmation,through,this platform
System error,results_in,no upload field available
Customer,seeks_further_advice_after,failing to follow previous instructions for manual attendance submission
Customer,unable_to_submit,manual attendance due to system error
Employer,inquired_about,purpose of the Skills Development Levy
Employer,received_notice_for,outstanding Skills Development Levy payment
Employee,enrolled_in,non-approved SkillsFuture Singapore course
Customer,inquires_about,applying for Skills Development Fund
Customer,inquiring_about_eligibility,Workplace Skills Qualification Specialist course for the Training Commitment Award
Appeal,refers_to_details_in,attached xlsx file
Customer,submitted_appeal_regarding,SingPass e-attendance
Customer,inquires_about_availability_of,Workfare Skills Support Training Allowance
Customer,inquires_about_procedure_for,claiming Workfare Skills Support Training Allowance
Training Provider,informs,no SkillsFuture Singapore course funding available
Customer's company,wants_to_sponsor,employee training
Customer,inquires_about,mandatory completion of Traqom Survey
Traqom Survey,received_for,course attended by employee
Employer,cites,overpayment for October 2022
Employer,objects_to,outstanding Skills Development Levy notice
Employer,questions,remaining balance due
MySkillsFuture course directory,accessed_via,Training Provider Gateway
Customer,inquires_about,editing her profile
Profile editing,located_in,MySkillsFuture course directory
Staff,not_liable_for,Skills Development Levy (SDL)
Staff,not_paid,monthly
Staff,not_working_in,Singapore
Customer,questions_receiving,Skills Development Levy Notice of Assessment
Central Provident Fund calculations,described_as_correct_for,the year 2022
Customer,objects_to,Notice of Assessment for Skills Development Levy
Customer,states_discrepancies_in,Notice of Assessment despite correct Central Provident Fund calculations
Inquiry,concerns,MySkillsFuture platform
Customer,inquires_about,available training providers for the Specialist Diploma in Security course
Customer,is_inquiring_about,purpose of Workfare Skills Support scheme
Customer,received,letter about eligibility for Workfare Skills Support scheme
Customer,cannot_find,Refreshment Course link on the website
Customer,needs,Refreshment Course link for opening a new business
Signed confirmation form,needed_for,meeting their closing process deadlines
Samsung Electronics Singapore,requests,Skillsfuture Singapore Agency to confirm the balance owed
Samsung Electronics Singapore,requests_return_of,signed confirmation form
signed confirmation form,to_meet,closing process deadlines
Customer,seeks_guidance_on,how to log out from the MyCareersFuture portal
SkillsFuture Credit claim,concerns,amount to be credited
SkillsFuture Credit claim,concerns,fees payable
Customer,seeks_assistance_with,online SkillsFuture Credit claim
Mandarin-speaking customer,inquired_about,CCOTG event
CCOTG event,scheduled_for,"October 17, 2023"
Customer,inquired_about,payment responsibilities
Employer,requests_payment_for,course fee from customer
Customer,resigned_after,employer-sponsored Child First Aid course
Customer,inquires_about,payment options
Customer,requests,installment payments
Company,status,has been struck off
Platform,erroneously_indicates,no available credits
Customer,seeks_assistance_to_claim,SkillsFuture Credit for a taxi driving license course
Missing grant payment,associated_with,recent course run
Enquirer,makes_enquiry_about,missing grant payment for participant Sebastian Ng Guo Tan
Enquirer,requests_status_update_on,payment
Foreign customer,inquired_about,downloading a certificate achieved in 2008
Customer,disagrees_with,Skills Development Levy amount
Customer,inquiring_about_accessing,FormSG
Customer,seeks_to_submit,Notice of Objection
Rejected payroll grant claims,lacks,given reason
Rejected payroll grant claims,occurred_over_duration,over two years
Customer,received,three rejected payroll grant claims
Customer,seeking,clarification
Issue,is_specific_to,the individual
Customer,unable_to,take attendance for her course
Customer,provides,contact details for further processing
Customer,requests_withdrawal_from,Central Provident Fund
Customer,did_not_receive,email for scheduled video coaching appointment
Email,was_sent_to,wrong email address
Customer,inquired_about,claimable amount from SkillsFuture Enterprise Credit
SkillsFuture Enterprise Credit,is_for,employers
Customer,contacting_on_behalf_of,a company
Customer,ended_call_prematurely_due_to,an incoming call
Customer,inquires_about_necessity_of,company stamp for SGUnited Mid-Careers Pathway Programme application form
Customer,inquires_about_necessity_of,supporting documents for SGUnited Mid-Careers Pathway Programme application form
Incorrect syncing,affects,attendance recording and course hours
Customer,appeals_to_correct,session count and attendance
Technical error,caused_incorrect_syncing_with,Training Provider Gateway
Customer,attending,supported courses
Customer,enquired_about,eligibility for Workfare Skills Support Training Allowance
Customer status,is,unemployed
Customer,called_to_inquire_about,his driving license
Training Allowance amount,compared_to,her friends
Training Allowance,for,same courses attended
Customer,reports_receiving,lesser amount of Training Allowance
Customer,inquired_about,letter concerning PayNow
Customer,seeks_guidance_on,next steps
Customer,updated,bank account linked with NRIC
Customer,mentioned,might seek employment assistance later
Customer,requested_cancellation_of,scheduled phone coaching appointment
Customer,encountered_issues_with,checking the status of submitted SkillsFuture Credit claim
Walk-in availability,for,quick Career Advisory services
Customer,inquired_about,walk-in availability at the centre
Employer,claims,all levy payments for local and foreign employees were correctly computed according to payroll records
