object,case_number
how to view the disbursed amount details,9989654
over $4000 from SkillsFuture Enterprise Credits,9989654
attendance for an online class,9989667
a unique QR code,9989667
manually marking attendance for that session,9989667
purpose of Notice of Assessment for Skills Development Levy,9989681
how Skills Development Levy aids in skills development,9989681
Notice of Assessment for Skills Development Levy,9989681
Skills Development Levy Notice of Assessment,9989687
May 2022 with no foreign employees,9989687
payment obligations starting June 2022,9989687
application process for the New Part-Time Re-Employment Grant,9989716
June,9989738
other months' calculations are correct,9989738
outstanding Skills Development Levy for 2022,9989738
submission process for a Small Medium Enterprise declaration,9989759
salary and weekly hours in the declaration,9989784
employee's Absentee Payroll status being 'Pending Eligibility Check' post-course completion,9989784
correct payments made for all employees,9989787
outstanding Skills Development Levy payment notice,9989787
refunds for months of overpayment,9989787
Skills Development Levy Notice of Assessment,9989794
payroll vendor handling payments,9989794
computation method,9989794
during login process,9989796
course fee,9989796
response time,9989817
"October 19, 2023",9989817
Skills Development Levy notice for 2022,9989817
Notice of Objection,9989817
SkillsFuture Credit eligible swimming courses for the elderly,9989820
a callback,9989825
a callback,9989831
receiving the Notice of Assessment,9989852
payment made for outstanding Skills Development Levy,9989852
overpayment and discrepancies,9989861
Skills Development Levy amounts in the Notice of Assessment,9989861
Skills Development Levy Notice of Assessment,9989879
new UEN,9989879
submitting a SkillsFuture Credit claim,9989890
invoice and course details from the Training Provider,9989890
Nov-23,9989890
New Part-Time Re-Employment Grant (PTRG),9989899
New Part-Time Re-Employment Grant (PTRG),10012669
previous case reference,9989902
no attendance link received for upcoming course,9989902
IT team today,9989902
inquiries regarding outstanding Skill Development Levy payments for the year 2022,9989952
using the correct communication channel,9989952
incomplete,9990001
payment methods,9990001
their boss,9990001
Skills Development Levy 2023 letter,9990001
cash payment,9990006
cancellation of SkillsFuture Credit claim for a Prime mover course,9990006
"May 28, 2021",9990013
rejection of Absentee Payroll grants,9990013
Enterprise Jobs and Skills Portal,9990013
Supervise Construction Work for Workplace Safety and Health,9990045
no reason,9990045
rejection of absentee payroll grant,9990045
Training Grant System,9990057
with evidence,9990057
lack of payroll records,9990057
missed call from Ben,9990077
callback,9990077
specified dates,9990078
payments for Skills Development Levy for 2022 and 2023 not reflected in the system,9990078
payments made,9990078
response,9990079
urgent assistance to address payment issues,9990079
Skills Development Levy assessment via the objection portal,9990079
SkillsFuture Singapore,9990090
an email received by the company,9990091
an email received by the company,9990276
an email received by the company,9991377
an email received by the company,9992714
an email received by the company,9992806
an email received by the company,9993276
an email received by the company,9993561
an email received by the company,9994856
an email received by the company,10003524
reason for rejection of Absentee Payroll funding,9990091
reason for rejection of Absentee Payroll funding,9990276
reason for rejection of Absentee Payroll funding,9991377
reason for rejection of Absentee Payroll funding,9992714
reason for rejection of Absentee Payroll funding,9992806
reason for rejection of Absentee Payroll funding,9993276
reason for rejection of Absentee Payroll funding,9993561
reason for rejection of Absentee Payroll funding,9994856
reason for rejection of Absentee Payroll funding,10003524
online refund request for overpaid Skills Development Levy for January 2022,9990108
submission error message,9990108
finding employment as a Bus Driver,9990118
how to utilize SkillsFuture credits,9990125
late payment interest,9990177
late payment interest,9990180
outstanding Skills Development Levy from January to August 2023,9990177
outstanding Skills Development Levy from January to August 2023,9990180
KPP-Antalis Asia to KPP-Antalis Singapore,9990178
the need to pay the outstanding Skills Development Levy for 2022,9990178
enrollment in the same course,9990247
eligibility for repeat funding,9990247
Skills Development Fund,9990247
Enterprise Jobs and Skills Portal,9990248
first email notification about the rejection of Absentee Payroll funding,9990248
not attended,9990250
SkillsFuture Credits claims,9990250
making payment for June 2022 underpayment,9990253
letter about outstanding Skills Development Levy for 2022,9990253
payroll records,9990281
Skills Development Levy for November 2022,9990281
Officer In Charge,9990281
greyed-out and unclickable,9990288
uploading an assessment on Training Provider Gateway,9990288
making payments to SkillsFuture Singapore,9990289
requirement for monthly Skills Development Levy payments for foreign workers,9990289
rejection of Absentee Payroll funding for a completed course,9990304
clarification or resolution,9990304
Skills Development Levy assessment,9990321
SkillsFuture funding support,9990321
Notice of Objection submission,9990321
successful,9990327
CoC in Administration of Medication with Tech-Enablement for Enrolled Nurses course,9990327
Singpass,9990327
Customer twice,9990332
specific Customer Service Officer for a follow-up,9990332
Customer,9990332
becoming an in-house Training Provider,9990410
to meet MOM requirements for employing foreigners,9990410
admin staff and drivers,9990410
Skills Development Levy Notice of Assessment discrepancies,9990416
payment requirements after submitting a Notice of Objection,9990416
Edutrust Star certification status,9990447
International Centre for Early Childhood Education,9990447
expiry of SkillsFuture Credits,9990451
job-relevant courses only,9990451
not receiving a call as of 4:09pm,9990470
phone appointment with a Career Officer at 4pm,9990470
pending process list,9990491
training claim manually for SkillsFuture Enterprise Credit,9990491
Skills Development Levy Outreach Phase 1B payment,9990504
processing,9990504
WEI CHIN,9990505
possible double payment,9990506
Absentee Payroll payments for the same course and trainees from different sources,9990506
clarification,9990506
course run creation in Training Provider Gateway for CET Diploma Courses,9990518
STEP API sync issues,9990518
to sync course runs post-start date,9990518
driver for Tada,9990557
screenshot of start date,9990557
SkillsFuture credit for a real estate course,9990584
applicable agencies for claiming SkillsFuture credit,9990584
how to claim the career transition credit,9990584
Additional SkillsFuture Credits for mid-career support,9990602
SkillsFuture Credits balance,9990602
Skills Development Levy 2023,9990619
Oct-22,9990619
Skills Development Levy 2023 letter,9990619
required corppass role for submitting a Notice of Objection,9990625
Mid-Career Enhanced Subsidy,9990634
a trainee,9990634
refunding an ineligible grant,9990634
SPR,9990634
eligibility criteria for Absentee Payroll funding,9990654
local citizens,9990654
meaning of Notice of Assessment,9990679
sources of Notice of Assessment,9990679
submitting a Notice of Objection,9990679
Skills Development Levy,9990679
agent,9990685
agent for career guidance,9990685
their payroll and payments made via Central Provident Fund EZ pay,9990698
